"rgn_id","taxa_code","sust_coeff"
5,"Blue shrimp_1","georegion_family_avg"
5,"Pacific cupped oyster_2","global_species"
5,"Snappers nei_3","taxon_group_avg"
6,"Blue shrimp_4","region_family_avg"
6,"Whiteleg shrimp_5","global_species"
7,"Giant tiger prawn_6","global_species"
8,"Bear paw clam_7","family_avg"
8,"Crocus giant clam_8","family_avg"
8,"Elongate giant clam_9","family_avg"
8,"Fluted giant clam_10","family_avg"
8,"Giant clam_11","family_avg"
8,"Milkfish_12","taxon_group_avg"
8,"Penaeus shrimps nei_13","family_avg"
8,"Smooth giant clam_14","family_avg"
10,"Milkfish_15","taxon_group_avg"
11,"Sixfinger threadfin_16","taxon_group_avg"
13,"Banana prawn_17","region_family_avg"
13,"Milkfish_18","taxon_group_avg"
13,"Mullets nei_19","taxon_group_avg"
13,"Whiteleg shrimp_20","global_species"
14,"Abalones nei_21","global_species"
14,"Abalones nei_22","global_species"
14,"Amberjacks nei_23","region_family_avg"
14,"Amberjacks nei_24","region_family_avg"
14,"Barramundi(=Giant seaperch)_25","global_species"
14,"Barramundi(=Giant seaperch)_26","global_species"
14,"Blackhead seabream_27","family_avg"
14,"Blackhead seabream_28","family_avg"
14,"Blood cockle_29","global_species"
14,"Blue swimming crab_30","global_avg"
14,"Clams, etc. nei_31","region_family_avg"
14,"Clams, etc. nei_32","region_family_avg"
14,"Cobia_33","global_species"
14,"Cobia_34","global_species"
14,"Croakers, drums nei_35","family_avg"
14,"Flathead grey mullet_36","taxon_group_avg"
14,"Fourfinger threadfin_37","taxon_group_avg"
14,"Giant tiger prawn_38","global_species"
14,"Greasyback shrimp_39","region_family_avg"
14,"Greater amberjack_40","global_species"
14,"Groupers nei_41","taxon_group_avg"
14,"Groupers nei_42","taxon_group_avg"
14,"Indo-Pacific swamp crab_43","global_avg"
14,"Japanese carpet shell_44","global_species"
14,"Japanese carpet shell_45","global_species"
14,"Japanese eel_46","none"
14,"Japanese hard clam_47","region_family_avg"
14,"Japanese hard clam_48","region_family_avg"
14,"Japanese spiny lobster_49","global_avg"
14,"Kuruma prawn_50","region_family_avg"
14,"Kuruma prawn_51","region_family_avg"
14,"Laver (Nori)_52","seaweed_score"
14,"Marine crabs nei_53","global_avg"
14,"Marine fishes nei_54","taxon_group_avg"
14,"Marine fishes nei_55","taxon_group_avg"
14,"Marine molluscs nei_56","taxon_group_avg"
14,"Marine molluscs nei_57","taxon_group_avg"
14,"Mi-iuy (brown) croaker_58","family_avg"
14,"Milkfish_59","taxon_group_avg"
14,"Natantian decapods nei_60","global_avg"
14,"Pacific cupped oyster_61","global_species"
14,"Porgies, seabreams nei_62","family_avg"
14,"Porgies, seabreams nei_63","family_avg"
14,"Redtail prawn_64","region_family_avg"
14,"Seabasses nei_65","taxon_group_avg"
14,"Seaweeds nei_66","seaweed_score"
14,"Snappers, jobfishes nei_67","taxon_group_avg"
14,"Snappers, jobfishes nei_68","taxon_group_avg"
14,"Trumpet emperor_69","taxon_group_avg"
14,"Whiteleg shrimp_70","global_species"
15,"Banana prawn_71","region_family_avg"
15,"Barramundi(=Giant seaperch)_72","global_species"
15,"Caulerpa seaweeds_73","seaweed_score"
15,"Cupped oysters nei_74","georegion_family_avg"
15,"Flathead lobster_75","global_avg"
15,"Giant tiger prawn_76","none"
15,"Giant tiger prawn_77","none"
15,"Green mussel_78","family_avg"
15,"Groupers, seabasses nei_79","taxon_group_avg"
15,"Groupers, seabasses nei_80","taxon_group_avg"
15,"Indo-Pacific swamp crab_81","global_avg"
15,"Indo-Pacific swamp crab_82","global_avg"
15,"Jacks, crevalles nei_83","region_family_avg"
15,"Marine fishes nei_84","taxon_group_avg"
15,"Marine fishes nei_85","taxon_group_avg"
15,"Metapenaeus shrimps nei_86","region_family_avg"
15,"Metapenaeus shrimps nei_87","taxon_group_avg"
15,"Milkfish_88","taxon_group_avg"
15,"Milkfish_89","taxon_group_avg"
15,"Scats_90","taxon_group_avg"
15,"Snappers nei_91","taxon_group_avg"
15,"Snubnose pompano_92","global_species"
15,"Tropical spiny lobsters nei_93","global_avg"
15,"Whiteleg shrimp_94","none"
16,"Abalones nei_95","global_species"
16,"Atlantic salmon_96","global_species"
16,"Australian mussel_97","taxon_group_avg"
16,"Barramundi(=Giant seaperch)_99","global_species"
16,"Barramundi(=Giant seaperch)_100","global_species"
16,"Brine shrimp_102","taxon_group_avg"
16,"Cupped oysters nei_103","region_family_avg"
16,"Cupped oysters nei_104","region_family_avg"
16,"Eastern school shrimp_105","region_family_avg"
16,"Finfishes nei_106","taxon_group_avg"
16,"Flat and cupped oysters nei_107","region_family_avg"
16,"Flat and cupped oysters nei_108","region_family_avg"
16,"Giant tiger prawn_109","global_species"
16,"Giant tiger prawn_110","global_species"
16,"Kuruma prawn_111","region_family_avg"
16,"Marine fishes nei_112","taxon_group_avg"
16,"Pacific cupped oyster_113","global_species"
16,"Penaeus shrimps nei_114","region_family_avg"
16,"Penaeus shrimps nei_115","region_family_avg"
16,"Rainbow trout_116","global_species"
16,"Southern bluefin tuna_117","none"
17,"Giant tiger prawn_118","global_species"
17,"Indo-Pacific swamp crab_119","global_avg"
17,"Milkfish_120","taxon_group_avg"
17,"Pearl oyster shells nei_121","taxon_group_avg"
18,"Giant tiger prawn_122","global_species"
18,"Indo-Pacific swamp crab_123","global_avg"
18,"Pearl oyster shells nei_124","taxon_group_avg"
19,"Milkfish_125","taxon_group_avg"
20,"Abalones nei_126","global_species"
20,"Aquatic invertebrates nei_127","global_avg"
20,"Bastard halibut_128","taxon_group_avg"
20,"Blackhead seabream_129","family_avg"
20,"Blood cockle_130","global_species"
20,"Dotted gizzard shad_131","taxon_group_avg"
20,"Filefishes, leatherjackets nei_132","taxon_group_avg"
20,"Fleshy prawn_133","region_family_avg"
20,"Fusiform sargassum_134","seaweed_score"
20,"Globose clam_135","family_avg"
20,"Green laver_136","seaweed_score"
20,"groupers nei_137","taxon_group_avg"
20,"Horned turban_138","taxon_group_avg"
20,"Inflated ark_139","region_family_avg"
20,"Jack and horse mackerels nei_140","georegion_family_avg"
20,"Japanese carpet shell_141","global_species"
20,"Japanese hard clam_142","region_family_avg"
20,"Japanese kelp_143","seaweed_score"
20,"Japanese seabream_144","family_avg"
