"rgn_id","pressures.score"
5,1
6,NA
7,NA
8,1
10,1
11,1
13,1
14,1
15,0.882011517565434
16,0.902650522066997
17,1
18,1
19,1
20,1
21,1
24,1
25,0.134873503283121
29,1
31,NA
32,NA
37,1
40,1
41,NA
42,1
43,1
45,NA
47,NA
48,1
50,1
51,1
52,NA
53,1
54,1
61,1
62,1
65,1
66,1
67,NA
68,1
70,NA
71,1
72,NA
73,1
75,NA
76,0.0550186737971023
78,1
79,1
80,1
81,1
82,1
84,1
95,NA
101,1
102,1
106,1
110,1
111,1
112,1
115,1
116,NA
117,1
129,0.793319661504373
130,1
131,0
132,1
133,0
134,1
135,0.489834082050695
136,1
137,1.96074586772808e-05
138,1
139,1
140,1
141,0
143,0.739862361037586
147,1
153,1
155,1
162,1
163,0.886400262623851
164,1
166,NA
167,1
168,1
171,1
172,1
173,NA
174,1
175,1
176,1
177,1
179,1
180,0.110954010614995
181,1
182,1
183,1
184,1
186,1
187,1
188,1
191,1
196,NA
202,1
203,0.154352415248976
204,0.695708988342965
205,0.188267877551386
206,0.758324303518462
207,0.320664239410354
208,0.990755327844523
209,0.96540250254082
210,0.833991110409595
212,1
214,0.724707468579959
216,0.52705967354809
218,0.610115333304643
219,NA
222,1
223,0.0537426411236177
224,0.298726747231824
231,1
232,1
244,NA
245,NA
247,0.99838865613922
250,NA
