"rgn_id","year","pressure_score"
5,1983,0
5,1984,0
5,1985,0
5,1986,0
5,1987,0
5,1988,0
5,1989,0.142268041237113
5,1990,0.0865293185419968
5,1991,0.0875331564986737
5,1992,0.0807556080283353
5,1993,0.0719665271966527
5,1994,0.0684615384615385
5,1995,0.0383386581469649
5,1996,0.0390197926484449
5,1997,0.0234375
5,1998,0.0101503759398496
5,1999,0.00972972972972973
5,2000,0.0105621805792164
5,2001,0.0158982511923688
5,2002,0.0210361067503925
5,2003,0.0236619718309859
5,2004,0.0181578947368421
5,2005,0.0199683042789223
5,2006,0.0220718816067653
5,2007,0.0249609984399376
5,2008,0.0191155492154066
5,2009,0.01875
5,2010,0.0314754098360656
5,2011,0.00845611787315823
5,2012,0.00721587492483464
5,2013,0.00753295668549906
5,2014,0.0072463768115942
5,2015,6.38467677573822e-05
5,2016,6.29623799779631e-05
5,2017,0.000466232430579362
5,2018,0.000648520398075529
6,2006,0
6,2007,0
6,2008,0
6,2009,NA
6,2010,0
6,2011,0
6,2012,0
6,2013,0
6,2014,0
6,2015,0
6,2016,0
6,2017,0
6,2018,NA
7,1987,0
7,1988,0
7,1989,0
7,1990,0
7,1991,0
7,1992,0
7,1993,0
7,1994,0
7,1995,0
7,1996,0
7,1997,0
7,1998,0
7,1999,0
7,2000,0
7,2001,0
7,2002,NA
7,2003,NA
7,2004,NA
7,2005,NA
7,2006,NA
7,2007,0
7,2008,0
7,2009,NA
7,2010,NA
7,2011,NA
7,2012,NA
7,2013,NA
7,2014,NA
7,2015,NA
7,2016,NA
7,2017,NA
7,2018,NA
8,1989,0.5
8,1990,0.5
8,1991,0.5
8,1992,0.5
8,1993,0.5
8,1994,0.5
8,1995,0.5
8,1996,0.5
8,1997,0.5
8,1998,0.5
8,1999,0.5
8,2000,0.5
8,2001,0.5
8,2002,0.5
8,2003,0.5
8,2004,0.5
8,2005,0.5
8,2006,0.5
8,2007,0.406666666666667
8,2008,0.122
8,2009,0.356590257879656
8,2010,0.207287933094385
8,2011,0.14910941475827
8,2012,0.0824561403508772
8,2013,0.0842211055276382
8,2014,0.213603818615752
8,2015,0.167086674303169
8,2016,0.24563025210084
8,2017,0.210338164251208
8,2018,0.204331797235023
10,2001,0.08
10,2002,NA
10,2003,NA
10,2004,NA
10,2005,NA
10,2006,0.08
10,2007,NA
10,2008,NA
10,2009,NA
10,2010,NA
10,2011,NA
10,2012,0.08
10,2013,0.08
10,2014,0.08
10,2015,0.08
10,2016,0.08
10,2017,0.08
10,2018,0.08
11,2014,0.08
11,2015,0.08
11,2016,0.08
11,2017,0.08
11,2018,0.08
13,1982,0
13,1983,NA
13,1984,NA
13,1985,NA
13,1986,NA
13,1987,NA
13,1988,NA
13,1989,NA
13,1990,NA
13,1991,0.04
13,1992,0
13,1993,0
13,1994,0.0133333333333333
13,1995,0.016
13,1996,0.0148148148148148
13,1997,0.0148148148148148
13,1998,0.0148148148148148
13,1999,0.0175
13,2000,0.0175
13,2001,0.0175
13,2002,0.0175
13,2003,0.064
13,2004,0.064
13,2005,0.064
13,2006,0.0615384615384615
13,2007,0.056140350877193
13,2008,0.0516129032258064
13,2009,0.0477611940298507
13,2010,0.0423921271763815
13,2011,0.0393442622950819
13,2012,0.0393442622950819
13,2013,0.04
13,2014,0.0380952380952381
13,2015,0.0380952380952381
13,2016,0.0380952380952381
13,2017,0.0380952380952381
13,2018,0.0380952380952381
14,1950,0.178991357449671
14,1951,0.207217040452735
14,1952,0.228756983240223
14,1953,0.207237514296607
14,1954,0.199952120844292
