"rgn_id","rgn_name","product","year","tonnes","usd","tonnes_orig","usd_orig","tonnes_peak","tonnes_rel"
6,"Vanuatu","corals",1998,25,34,25,34,47.5,0.526315789473684
6,"Vanuatu","corals",1999,36.5,44,48,54,47.5,0.768421052631579
6,"Vanuatu","corals",2000,24.3333333333333,29.3333333333333,0,0,47.5,0.512280701754386
6,"Vanuatu","corals",2001,25.5,46.75,29,99,47.5,0.536842105263158
6,"Vanuatu","corals",2002,34,52.5,59,57,47.5,0.715789473684211
6,"Vanuatu","corals",2003,37.75,93.75,63,219,47.5,0.794736842105263
6,"Vanuatu","corals",2004,46.75,104,36,41,47.5,0.984210526315789
6,"Vanuatu","corals",2005,47.5,83,32,15,47.5,1
6,"Vanuatu","corals",2006,32.75,68.75,0,0,47.5,0.689473684210526
6,"Vanuatu","corals",2007,17,14,0,0,47.5,0.357894736842105
6,"Vanuatu","corals",2008,8,3.75,0,0,47.5,0.168421052631579
6,"Vanuatu","corals",2009,0,0,0,0,47.5,0
6,"Vanuatu","corals",2010,0,0,0,0,47.5,0
6,"Vanuatu","corals",2011,0,0,0,0,47.5,0
6,"Vanuatu","corals",2012,4.75,7,19,28,47.5,0.1
6,"Vanuatu","corals",2013,4.75,7,0,0,47.5,0.1
6,"Vanuatu","corals",2014,15.75,11,44,16,47.5,0.331578947368421
6,"Vanuatu","corals",2015,24,33,33,88,47.5,0.505263157894737
6,"Vanuatu","corals",2016,28.25,48.25,36,89,47.5,0.594736842105263
6,"Vanuatu","corals",2017,37.25,70.5,36,89,47.5,0.784210526315789
7,"Solomon Islands","corals",1998,391,1007,391,1007,391,1
7,"Solomon Islands","corals",1999,314.5,908.5,238,810,391,0.804347826086957
7,"Solomon Islands","corals",2000,266,819.666666666667,169,642,391,0.680306905370844
7,"Solomon Islands","corals",2001,235.25,818,143,813,391,0.601662404092072
7,"Solomon Islands","corals",2002,204,722.25,266,624,391,0.521739130434783
7,"Solomon Islands","corals",2003,181,651.25,146,526,391,0.462915601023018
7,"Solomon Islands","corals",2004,192.25,712.25,214,886,391,0.491687979539642
7,"Solomon Islands","corals",2005,227,745.5,282,946,391,0.580562659846547
7,"Solomon Islands","corals",2006,255,789.25,378,799,391,0.652173913043478
7,"Solomon Islands","corals",2007,317.75,831.75,397,696,391,0.812659846547315
7,"Solomon Islands","corals",2008,339.25,810.25,300,800,391,0.867647058823529
7,"Solomon Islands","corals",2009,338.75,786.25,280,850,391,0.866368286445013
7,"Solomon Islands","corals",2010,303.75,770,238,734,391,0.776854219948849
7,"Solomon Islands","corals",2011,294,644.75,358,195,391,0.751918158567775
7,"Solomon Islands","corals",2012,252.75,590.75,135,584,391,0.646419437340154
7,"Solomon Islands","corals",2013,222,542.25,157,656,391,0.567774936061381
7,"Solomon Islands","corals",2014,203.75,516,165,629,391,0.521099744245524
7,"Solomon Islands","corals",2015,123,507.5,35,161,391,0.314578005115089
7,"Solomon Islands","corals",2016,89.25,361.5,0,0,391,0.228260869565217
7,"Solomon Islands","corals",2017,50,197.5,0,0,391,0.127877237851662
8,"Palau","corals",1998,50,195,50,195,314.700205057352,0.158881370893571
8,"Palau","corals",1999,44,99.5,38,4,314.700205057352,0.139815606386343
8,"Palau","corals",2000,36,67.3333333333333,20,3,314.700205057352,0.114394587043371
8,"Palau","corals",2001,27,50.5,0,0,314.700205057352,0.0857959402825284
8,"Palau","corals",2002,14.5,1.75,0,0,314.700205057352,0.0460755975591356
8,"Palau","corals",2003,113.638965930593,1.5,434.555863722373,3,314.700205057352,0.361102293879609
8,"Palau","corals",2004,108.638965930593,0.75,0,0,314.700205057352,0.345214156790252
8,"Palau","corals",2005,122.388965930593,61,55,241,314.700205057352,0.388906533785984
8,"Palau","corals",2006,125.888965930593,63,14,8,314.700205057352,0.400028229748534
8,"Palau","corals",2007,17.5,65.5,1,13,314.700205057352,0.0556084798127499
8,"Palau","corals",2008,41.5,79,96,54,314.700205057352,0.131871537841664
8,"Palau","corals",2009,27.75,18.75,0,0,314.700205057352,0.0881791608459319
8,"Palau","corals",2010,169.717765725096,17.75,581.871062900384,4,314.700205057352,0.539299825667943
8,"Palau","corals",2011,177.467765725096,25.25,32,43,314.700205057352,0.563926438156447
8,"Palau","corals",2012,153.467765725096,11.75,0,0,314.700205057352,0.487663380127533
8,"Palau","corals",2013,314.700205057352,12.75,644.929757329024,4,314.700205057352,1
8,"Palau","corals",2014,169.232439332256,11.75,0,0,314.700205057352,0.537757639215439
8,"Palau","corals",2015,161.232439332256,1,0,0,314.700205057352,0.512336619872467
8,"Palau","corals",2016,161.232439332256,1,0,0,314.700205057352,0.512336619872467
8,"Palau","corals",2017,0,0,0,0,314.700205057352,0
9,"Micronesia","corals",1998,26,129,26,129,167.866664021965,0.154884831669723
9,"Micronesia","corals",1999,35,151,44,173,167.866664021965,0.208498811863088
9,"Micronesia","corals",2000,28.6666666666667,115.333333333333,16,44,167.866664021965,0.17077045543072
9,"Micronesia","corals",2001,21.5,86.5,0,0,167.866664021965,0.12807784157304
9,"Micronesia","corals",2002,18,88.5,12,137,167.866664021965,0.107227960386731
9,"Micronesia","corals",2003,7.75,56.25,3,44,167.866664021965,0.0461675940553981
9,"Micronesia","corals",2004,117.866664021965,47.25,456.466656087861,8,167.866664021965,0.702144554481302
9,"Micronesia","corals",2005,127.866664021965,57,40,39,167.866664021965,0.761715643585042
9,"Micronesia","corals",2006,162.616664021965,42.5,151,79,167.866664021965,0.968725178220537
9,"Micronesia","corals",2007,167.866664021965,48,24,66,167.866664021965,1
9,"Micronesia","corals",2008,57.5,52,15,24,167.866664021965,0.342533762346502
9,"Micronesia","corals",2009,48,54.25,2,48,167.866664021965,0.28594122769795
9,"Micronesia","corals",2010,50.25,63.5,160,116,167.866664021965,0.299344722746291
9,"Micronesia","corals",2011,69,74.25,99,109,167.866664021965,0.411040514815803
9,"Micronesia","corals",2012,66.25,98.25,4,120,167.866664021965,0.394658465312274
9,"Micronesia","corals",2013,75.75,107.5,40,85,167.866664021965,0.451250999960827
9,"Micronesia","corals",2014,64,134.5,113,224,167.866664021965,0.381254970263933
9,"Micronesia","corals",2015,40.5,156,5,195,167.866664021965,0.241262910870145
9,"Micronesia","corals",2016,41,179.5,6,214,167.866664021965,0.244241465325332
9,"Micronesia","corals",2017,32,189.25,4,124,167.866664021965,0.190627485131966
11,"Marshall Islands","corals",1998,33,151,33,151,107.290060770225,0.307577419223143
11,"Marshall Islands","corals",1999,16.5,75.5,0,0,107.290060770225,0.153788709611572
11,"Marshall Islands","corals",2000,11,50.3333333333333,0,0,107.290060770225,0.102525806407714
11,"Marshall Islands","corals",2001,106.290060770225,38,392.1602430809,1,107.290060770225,0.990679472144753
11,"Marshall Islands","corals",2002,99.790060770225,20.75,7,82,107.290060770225,0.930096041085649
11,"Marshall Islands","corals",2003,102.790060770225,48.5,12,111,107.290060770225,0.95805762465139
11,"Marshall Islands","corals",2004,107.290060770225,87.5,18,156,107.290060770225,1
11,"Marshall Islands","corals",2005,17.75,117.25,34,120,107.290060770225,0.16543936943063
11,"Marshall Islands","corals",2006,26.5,142,42,181,107.290060770225,0.246993988164039
11,"Marshall Islands","corals",2007,26.5,147.25,12,132,107.290060770225,0.246993988164039
11,"Marshall Islands","corals",2008,23.75,142.75,7,138,107.290060770225,0.221362536562111
11,"Marshall Islands","corals",2009,19.25,138,16,101,107.290060770225,0.1794201612135
11,"Marshall Islands","corals",2010,10.0458292919496,93.75,5.18331716779826,4,107.290060770225,0.0936324317446698
11,"Marshall Islands","corals",2011,7.54582929194956,83,2,89,107.290060770225,0.0703311121065529
11,"Marshall Islands","corals",2012,8.04582929194956,94,9,182,107.290060770225,0.0749913760341763
11,"Marshall Islands","corals",2013,5.54582929194956,118,6,197,107.290060770225,0.0516900563960594
11,"Marshall Islands","corals",2014,5,144.75,3,111,107.290060770225,0.0466026392762338
11,"Marshall Islands","corals",2015,8.75,160.25,17,151,107.290060770225,0.0815546187334092
11,"Marshall Islands","corals",2016,7.5,148.75,4,136,107.290060770225,0.0699039589143508
11,"Marshall Islands","corals",2017,7,130.25,4,123,107.290060770225,0.0652436949867274
14,"Taiwan","corals",1976,63,82985,63,82985,150.5,0.418604651162791
14,"Taiwan","corals",1977,81.5,81492.5,100,80000,150.5,0.541528239202658
14,"Taiwan","corals",1978,129.666666666667,93535,226,117620,150.5,0.861572535991141
14,"Taiwan","corals",1979,150.5,96336.5,213,104741,150.5,1
14,"Taiwan","corals",1980,137.75,92116.75,12,66106,150.5,0.915282392026578
14,"Taiwan","corals",1981,123.25,81377.75,42,37044,150.5,0.818936877076412
14,"Taiwan","corals",1982,76,64001.5,37,48115,150.5,0.504983388704319
14,"Taiwan","corals",1983,38.75,45069.75,64,29014,150.5,0.257475083056478
14,"Taiwan","corals",1984,55.25,31010.5,78,9869,150.5,0.367109634551495
14,"Taiwan","corals",1985,75,24429.5,121,10720,150.5,0.498338870431894
14,"Taiwan","corals",1986,83.25,22961.5,70,42243,150.5,0.553156146179402
14,"Taiwan","corals",1987,93.25,39200.25,104,93969,150.5,0.619601328903654
14,"Taiwan","corals",1988,100.5,38042,107,5236,150.5,0.667774086378738
14,"Taiwan","corals",1989,103.25,36812,132,5800,150.5,0.686046511627907
14,"Taiwan","corals",1990,85.75,26251.25,0,0,150.5,0.569767441860465
14,"Taiwan","corals",1991,59.75,2759,0,0,150.5,0.397009966777409
14,"Taiwan","corals",1992,33,1450,0,0,150.5,0.219269102990033
14,"Taiwan","corals",1993,0,0,0,0,150.5,0
14,"Taiwan","corals",1994,0.25,172.75,1,691,150.5,0.00166112956810631
14,"Taiwan","corals",1995,1,371,3,793,150.5,0.00664451827242525
14,"Taiwan","corals",1996,2.5,755.75,6,1539,150.5,0.0166112956810631
14,"Taiwan","corals",1997,3,915.25,2,638,150.5,0.0199335548172757
14,"Taiwan","corals",1998,3.25,1073.5,2,1324,150.5,0.0215946843853821
14,"Taiwan","corals",1999,3.5,1265.25,4,1560,150.5,0.0232558139534884
14,"Taiwan","corals",2000,2.5,1158.75,2,1113,150.5,0.0166112956810631
14,"Taiwan","corals",2001,2.75,1156,3,627,150.5,0.0182724252491694
14,"Taiwan","corals",2002,10,1029.25,31,817,150.5,0.0664451827242525
14,"Taiwan","corals",2003,13,893.5,16,1017,150.5,0.0863787375415282
14,"Taiwan","corals",2004,16.25,821.25,15,824,150.5,0.10797342192691
14,"Taiwan","corals",2005,20.25,866.25,19,807,150.5,0.134551495016611
14,"Taiwan","corals",2006,21.75,817,37,620,150.5,0.144518272425249
14,"Taiwan","corals",2007,24.5,767.25,27,818,150.5,0.162790697674419
14,"Taiwan","corals",2008,26.75,808.75,24,990,150.5,0.177740863787375
14,"Taiwan","corals",2009,23.25,744.75,5,551,150.5,0.154485049833887
14,"Taiwan","corals",2010,14.5,666,2,305,150.5,0.0963455149501661
14,"Taiwan","corals",2011,8.5,641.75,3,721,150.5,0.0564784053156146
14,"Taiwan","corals",2012,3.25,596.25,3,808,150.5,0.0215946843853821
14,"Taiwan","corals",2013,2.5,683.5,2,900,150.5,0.0166112956810631
14,"Taiwan","corals",2014,2.25,850.5,1,973,150.5,0.0149501661129568
14,"Taiwan","corals",2015,10.25,1087,35,1667,150.5,0.0681063122923588
14,"Taiwan","corals",2016,11,1723,6,3352,150.5,0.0730897009966777
14,"Taiwan","corals",2017,11.25,2190.25,3,2769,150.5,0.0747508305647841
15,"Philippines","corals",1991,1789,3426,1789,3426,3593.25,0.497877965630001
15,"Philippines","corals",1992,2462,4186,3135,4946,3593.25,0.685173589368956
15,"Philippines","corals",1993,2193.33333333333,3751.33333333333,1656,2882,3593.25,0.610403766321111
15,"Philippines","corals",1994,2210,3831.5,2260,4072,3593.25,0.615042092812913
15,"Philippines","corals",1995,2209,3838,1785,3452,3593.25,0.614763793223405
15,"Philippines","corals",1996,1906.5,3374,1925,3090,3593.25,0.530578167397203
15,"Philippines","corals",1997,1950.5,3385.75,1832,2929,3593.25,0.54282334933556
15,"Philippines","corals",1998,1816.5,3007.5,1724,2559,3593.25,0.505531204341474
15,"Philippines","corals",1999,1683.75,2599.75,1254,1821,3593.25,0.468586933834273
15,"Philippines","corals",2000,1512.25,2194,1239,1467,3593.25,0.420858554233632
15,"Philippines","corals",2001,1505.5,1880,1805,1673,3593.25,0.418980032004453
15,"Philippines","corals",2002,1623.5,1843,2196,2411,3593.25,0.451819383566409
15,"Philippines","corals",2003,2111.75,2091.5,3207,2815,3593.25,0.587699158143742
15,"Philippines","corals",2004,2983,2769,4724,4177,3593.25,0.830167675502679
15,"Philippines","corals",2005,3466.75,3127.5,3740,3107,3593.25,0.964795101927225
15,"Philippines","corals",2006,3593.25,3210,2702,2741,3593.25,1
15,"Philippines","corals",2007,2791.5,2506.25,0,0,3593.25,0.776873304111876
15,"Philippines","corals",2008,1610.5,1462,0,0,3593.25,0.448201488902804
15,"Philippines","corals",2009,675.5,685.25,0,0,3593.25,0.187991372712725
15,"Philippines","corals",2010,0,0,0,0,3593.25,0
15,"Philippines","corals",2011,0,0,0,0,3593.25,0
15,"Philippines","corals",2012,0,0,0,0,3593.25,0
15,"Philippines","corals",2013,0,0,0,0,3593.25,0
15,"Philippines","corals",2014,0,0,0,0,3593.25,0
15,"Philippines","corals",2015,0,0,0,0,3593.25,0
15,"Philippines","corals",2016,0,0,0,0,3593.25,0
15,"Philippines","corals",2017,0,0,0,0,3593.25,0
16,"Australia","corals",1976,464,328,464,328,1467.25,0.316237859942068
16,"Australia","corals",1977,494,345.5,524,363,1467.25,0.336684273300392
16,"Australia","corals",1978,564.333333333333,404.333333333333,705,522,1467.25,0.384619753507128
16,"Australia","corals",1979,668.5,497.25,981,776,1467.25,0.45561424433464
16,"Australia","corals",1980,928.75,756.75,1505,1366,1467.25,0.632986880218095
16,"Australia","corals",1981,963.5,848.25,663,729,1467.25,0.656670642358153
16,"Australia","corals",1982,972,912.75,739,780,1467.25,0.662463792809678
16,"Australia","corals",1983,880,1000.5,613,1127,1467.25,0.59976145851082
16,"Australia","corals",1984,637.5,954.75,535,1183,1467.25,0.434486283864372
16,"Australia","corals",1985,588.75,1029.75,468,1029,1467.25,0.401260862157097
16,"Australia","corals",1986,404,834.75,0,0,1467.25,0.275345033225422
16,"Australia","corals",1987,250.75,553,0,0,1467.25,0.170897938319986
16,"Australia","corals",1988,117,257.25,0,0,1467.25,0.0797410120974612
16,"Australia","corals",1989,0,0,0,0,1467.25,0
16,"Australia","corals",1990,404.5,1825.25,1618,7301,1467.25,0.275685806781394
16,"Australia","corals",1991,759.5,2902,1420,4307,1467.25,0.517635031521554
16,"Australia","corals",1992,1084.5,3986.75,1300,4339,1467.25,0.739137842903391
16,"Australia","corals",1993,1426.75,4844,1369,3429,1467.25,0.972397341966263
16,"Australia","corals",1994,1467.25,3976.75,1780,3832,1467.25,1
16,"Australia","corals",1995,1409.25,3701.25,1188,3205,1467.25,0.960470267507241
16,"Australia","corals",1996,1307.75,3192.5,894,2304,1467.25,0.891293235644914
16,"Australia","corals",1997,1191,2875.75,902,2162,1467.25,0.811722610325439
16,"Australia","corals",1998,1090.25,2651.25,1377,2934,1467.25,0.743056738797069
16,"Australia","corals",1999,1008.5,2233.5,861,1534,1467.25,0.687340262395638
16,"Australia","corals",2000,1030.5,1896.75,982,957,1467.25,0.702334298858409
16,"Australia","corals",2001,1012.25,1556.75,829,802,1467.25,0.689896064065428
16,"Australia","corals",2002,1021,1289,1412,1863,1467.25,0.69585960129494
16,"Australia","corals",2003,1041,1074.5,941,676,1467.25,0.709490543533822
16,"Australia","corals",2004,991,1065.5,782,921,1467.25,0.675413187936616
16,"Australia","corals",2005,960.5,1128.25,707,1053,1467.25,0.654626001022321
16,"Australia","corals",2006,1026.5,1124,1676,1846,1467.25,0.699608110410632
16,"Australia","corals",2007,945.25,1430.5,616,1902,1467.25,0.644232407565173
16,"Australia","corals",2008,861.25,1653.75,446,1814,1467.25,0.586982450161867
16,"Australia","corals",2009,758,1872.75,294,1929,1467.25,0.516612710853638
16,"Australia","corals",2010,427.25,2078.25,353,2668,1467.25,0.291191003578122
16,"Australia","corals",2011,379.75,2319,426,2865,1467.25,0.258817515760777
16,"Australia","corals",2012,547.75,3466.25,1118,6403,1467.25,0.373317430567388
16,"Australia","corals",2013,703.25,4894.25,916,7641,1467.25,0.479298006474698
16,"Australia","corals",2014,791,5810,704,6331,1467.25,0.539103765547793
16,"Australia","corals",2015,912.5,7516.75,912,9692,1467.25,0.621911739649003
16,"Australia","corals",2016,869,8313.75,944,9591,1467.25,0.592264440279434
16,"Australia","corals",2017,877.75,8856,951,9810,1467.25,0.598227977508945
17,"Papua New Guinea","corals",1996,4,58,4,58,214.374682918247,0.0186589197266611
17,"Papua New Guinea","corals",1997,2,29,0,0,214.374682918247,0.00932945986333054
17,"Papua New Guinea","corals",1998,111.033849550753,19.6666666666667,329.101548652259,1,214.374682918247,0.517942921427416
17,"Papua New Guinea","corals",1999,83.2753871630648,14.75,0,0,214.374682918247,0.388457191070562
17,"Papua New Guinea","corals",2000,175.060556730903,0.5,371.140678271353,1,214.374682918247,0.81661021883663
17,"Papua New Guinea","corals",2001,193.310556730903,67.5,73,268,214.374682918247,0.901741540089521
17,"Papua New Guinea","corals",2002,214.374682918247,67.75,413.358053401636,2,214.374682918247,1
17,"Papua New Guinea","corals",2003,214.374682918247,67.75,0,0,214.374682918247,1
17,"Papua New Guinea","corals",2004,122.589513350409,70.5,4,12,214.374682918247,0.571846972233933
17,"Papua New Guinea","corals",2005,112.839513350409,6.5,34,12,214.374682918247,0.526365855400196
17,"Papua New Guinea","corals",2006,13.25,7.25,15,5,214.374682918247,0.0618076715945648
17,"Papua New Guinea","corals",2007,13.25,7.25,0,0,214.374682918247,0.0618076715945648
17,"Papua New Guinea","corals",2008,13.5,7,5,11,214.374682918247,0.0629738540774812
17,"Papua New Guinea","corals",2009,5,4,0,0,214.374682918247,0.0233236496583264
17,"Papua New Guinea","corals",2010,32.75,32.5,126,119,214.374682918247,0.152769905262038
17,"Papua New Guinea","corals",2011,32.75,32.5,0,0,214.374682918247,0.152769905262038
17,"Papua New Guinea","corals",2012,31.5,29.75,0,0,214.374682918247,0.146938992847456
17,"Papua New Guinea","corals",2013,58.75,54.5,109,99,214.374682918247,0.274052883485335
17,"Papua New Guinea","corals",2014,35.25,41,32,65,214.374682918247,0.164431730091201
17,"Papua New Guinea","corals",2015,39.5,49.75,17,35,214.374682918247,0.184256832300778
17,"Papua New Guinea","corals",2016,39.5,49.75,0,0,214.374682918247,0.184256832300778
17,"Papua New Guinea","corals",2017,24.75,71.25,50,185,214.374682918247,0.115452065808715
18,"Fiji","corals",1990,589,2562,589,2562,1799.5,0.327313142539594
18,"Fiji","corals",1991,523,1702.5,457,843,1799.5,0.290636287857738
18,"Fiji","corals",1992,465.666666666667,1384.66666666667,351,749,1799.5,0.258775585810873
18,"Fiji","corals",1993,376.5,1123.5,109,340,1799.5,0.209224784662406
18,"Fiji","corals",1994,306,691.25,307,833,1799.5,0.170047235343151
18,"Fiji","corals",1995,191.75,480.5,0,0,1799.5,0.10655737704918
18,"Fiji","corals",1996,238,578.75,536,1142,1799.5,0.132258960822451
18,"Fiji","corals",1997,505.75,946,1180,1809,1799.5,0.281050291747708
18,"Fiji","corals",1998,749,1018.25,1280,1122,1799.5,0.416226729647124
18,"Fiji","corals",1999,956.5,1213.5,830,781,1799.5,0.531536537927202
18,"Fiji","corals",2000,1131.25,1334.5,1235,1626,1799.5,0.628646846346207
18,"Fiji","corals",2001,836.25,882.25,0,0,1799.5,0.464712420116699
18,"Fiji","corals",2002,772.75,1176.5,1026,2299,1799.5,0.429424840233398
18,"Fiji","corals",2003,918.25,1818.75,1412,3350,1799.5,0.510280633509308
18,"Fiji","corals",2004,1033.25,2687.25,1695,5100,1799.5,0.574187274242845
18,"Fiji","corals",2005,1496.25,3938.25,1852,5004,1799.5,0.83148096693526
