"","rgn_id","rgn_name","product","year","tonnes","usd","tonnes_orig","usd_orig"
"1",6,"Vanuatu","corals",1998,25,34,25,34
"2",6,"Vanuatu","corals",1999,36.5,44,48,54
"3",6,"Vanuatu","corals",2000,24.3333333333333,29.3333333333333,0,0
"4",6,"Vanuatu","corals",2001,25.5,46.75,29,99
"5",6,"Vanuatu","corals",2002,34,52.5,59,57
"6",6,"Vanuatu","corals",2003,37.75,93.75,63,219
"7",6,"Vanuatu","corals",2004,46.75,104,36,41
"8",6,"Vanuatu","corals",2005,47.5,83,32,15
"9",6,"Vanuatu","corals",2006,32.75,68.75,0,0
"10",6,"Vanuatu","corals",2007,17,14,0,0
"11",6,"Vanuatu","corals",2008,8,3.75,0,0
"12",6,"Vanuatu","corals",2009,0,0,0,0
"13",6,"Vanuatu","corals",2010,0,0,0,0
"14",6,"Vanuatu","corals",2011,0,0,0,0
"15",6,"Vanuatu","corals",2012,4.75,7,19,28
"16",6,"Vanuatu","corals",2013,4.75,7,0,0
"17",6,"Vanuatu","corals",2014,15.75,11,44,16
"18",6,"Vanuatu","corals",2015,24,33,33,88
"19",6,"Vanuatu","corals",2016,28.25,48.25,36,89
"20",6,"Vanuatu","corals",2017,37.25,70.5,36,89
"21",7,"Solomon Islands","corals",1998,391,1007,391,1007
"22",7,"Solomon Islands","corals",1999,314.5,908.5,238,810
"23",7,"Solomon Islands","corals",2000,266,819.666666666667,169,642
"24",7,"Solomon Islands","corals",2001,235.25,818,143,813
"25",7,"Solomon Islands","corals",2002,204,722.25,266,624
"26",7,"Solomon Islands","corals",2003,181,651.25,146,526
"27",7,"Solomon Islands","corals",2004,192.25,712.25,214,886
"28",7,"Solomon Islands","corals",2005,227,745.5,282,946
"29",7,"Solomon Islands","corals",2006,255,789.25,378,799
"30",7,"Solomon Islands","corals",2007,317.75,831.75,397,696
"31",7,"Solomon Islands","corals",2008,339.25,810.25,300,800
"32",7,"Solomon Islands","corals",2009,338.75,786.25,280,850
"33",7,"Solomon Islands","corals",2010,303.75,770,238,734
"34",7,"Solomon Islands","corals",2011,294,644.75,358,195
"35",7,"Solomon Islands","corals",2012,252.75,590.75,135,584
"36",7,"Solomon Islands","corals",2013,222,542.25,157,656
"37",7,"Solomon Islands","corals",2014,203.75,516,165,629
"38",7,"Solomon Islands","corals",2015,123,507.5,35,161
"39",7,"Solomon Islands","corals",2016,89.25,361.5,0,0
"40",7,"Solomon Islands","corals",2017,50,197.5,0,0
"41",8,"Palau","corals",1998,50,195,50,195
"42",8,"Palau","corals",1999,44,99.5,38,4
"43",8,"Palau","corals",2000,36,67.3333333333333,20,3
"44",8,"Palau","corals",2001,27,50.5,0,0
"45",8,"Palau","corals",2002,14.5,1.75,0,0
"46",8,"Palau","corals",2003,8.57143428813822,1.5,14.2857371525529,3
"47",8,"Palau","corals",2004,3.57143428813822,0.75,0,0
"48",8,"Palau","corals",2005,17.3214342881382,61,55,241
"49",8,"Palau","corals",2006,20.8214342881382,63,14,8
"50",8,"Palau","corals",2007,17.5,65.5,1,13
"51",8,"Palau","corals",2008,41.5,79,96,54
"52",8,"Palau","corals",2009,27.75,18.75,0,0
"53",8,"Palau","corals",2010,26.7631425405465,17.75,10.0525701621859,4
"54",8,"Palau","corals",2011,34.5131425405465,25.25,32,43
"55",8,"Palau","corals",2012,10.5131425405465,11.75,0,0
"56",8,"Palau","corals",2013,12.5566616293201,12.75,8.17407635509448,4
"57",8,"Palau","corals",2014,10.0435190887736,11.75,0,0
"58",8,"Palau","corals",2015,2.04351908877362,1,0,0
"59",8,"Palau","corals",2016,2.04351908877362,1,0,0
"60",8,"Palau","corals",2017,0,0,0,0
"61",9,"Micronesia","corals",1998,26,129,26,129
"62",9,"Micronesia","corals",1999,35,151,44,173
"63",9,"Micronesia","corals",2000,28.6666666666667,115.333333333333,16,44
"64",9,"Micronesia","corals",2001,21.5,86.5,0,0
"65",9,"Micronesia","corals",2002,18,88.5,12,137
"66",9,"Micronesia","corals",2003,7.75,56.25,3,44
"67",9,"Micronesia","corals",2004,7.3523746702715,47.25,14.409498681086,8
"68",9,"Micronesia","corals",2005,17.3523746702715,57,40,39
"69",9,"Micronesia","corals",2006,52.1023746702715,42.5,151,79
"70",9,"Micronesia","corals",2007,57.3523746702715,48,24,66
"71",9,"Micronesia","corals",2008,57.5,52,15,24
"72",9,"Micronesia","corals",2009,48,54.25,2,48
"73",9,"Micronesia","corals",2010,50.25,63.5,160,116
"74",9,"Micronesia","corals",2011,69,74.25,99,109
"75",9,"Micronesia","corals",2012,66.25,98.25,4,120
"76",9,"Micronesia","corals",2013,75.75,107.5,40,85
"77",9,"Micronesia","corals",2014,64,134.5,113,224
"78",9,"Micronesia","corals",2015,40.5,156,5,195
"79",9,"Micronesia","corals",2016,41,179.5,6,214
"80",9,"Micronesia","corals",2017,32,189.25,4,124
"81",11,"Marshall Islands","corals",1998,33,151,33,151
"82",11,"Marshall Islands","corals",1999,16.5,75.5,0,0
"83",11,"Marshall Islands","corals",2000,11,50.3333333333333,0,0
"84",11,"Marshall Islands","corals",2001,12.0595239762304,38,15.2380959049217,1
"85",11,"Marshall Islands","corals",2002,5.55952397623042,20.75,7,82
"86",11,"Marshall Islands","corals",2003,8.55952397623042,48.5,12,111
"87",11,"Marshall Islands","corals",2004,13.0595239762304,87.5,18,156
"88",11,"Marshall Islands","corals",2005,17.75,117.25,34,120
"89",11,"Marshall Islands","corals",2006,26.5,142,42,181
"90",11,"Marshall Islands","corals",2007,26.5,147.25,12,132
"91",11,"Marshall Islands","corals",2008,23.75,142.75,7,138
"92",11,"Marshall Islands","corals",2009,19.25,138,16,101
"93",11,"Marshall Islands","corals",2010,10.0458292919496,93.75,5.18331716779826,4
"94",11,"Marshall Islands","corals",2011,7.54582929194956,83,2,89
"95",11,"Marshall Islands","corals",2012,8.04582929194956,94,9,182
"96",11,"Marshall Islands","corals",2013,5.54582929194956,118,6,197
"97",11,"Marshall Islands","corals",2014,5,144.75,3,111
"98",11,"Marshall Islands","corals",2015,8.75,160.25,17,151
"99",11,"Marshall Islands","corals",2016,7.5,148.75,4,136
"100",11,"Marshall Islands","corals",2017,7,130.25,4,123
"101",14,"Taiwan","corals",1976,63,82985,63,82985
"102",14,"Taiwan","corals",1977,81.5,81492.5,100,80000
"103",14,"Taiwan","corals",1978,129.666666666667,93535,226,117620
"104",14,"Taiwan","corals",1979,150.5,96336.5,213,104741
"105",14,"Taiwan","corals",1980,137.75,92116.75,12,66106
"106",14,"Taiwan","corals",1981,123.25,81377.75,42,37044
"107",14,"Taiwan","corals",1982,76,64001.5,37,48115
"108",14,"Taiwan","corals",1983,38.75,45069.75,64,29014
"109",14,"Taiwan","corals",1984,55.25,31010.5,78,9869
"110",14,"Taiwan","corals",1985,75,24429.5,121,10720
"111",14,"Taiwan","corals",1986,83.25,22961.5,70,42243
"112",14,"Taiwan","corals",1987,93.25,39200.25,104,93969
"113",14,"Taiwan","corals",1988,100.5,38042,107,5236
"114",14,"Taiwan","corals",1989,103.25,36812,132,5800
"115",14,"Taiwan","corals",1990,85.75,26251.25,0,0
"116",14,"Taiwan","corals",1991,59.75,2759,0,0
"117",14,"Taiwan","corals",1992,33,1450,0,0
"118",14,"Taiwan","corals",1993,0,0,0,0
"119",14,"Taiwan","corals",1994,0.25,172.75,1,691
"120",14,"Taiwan","corals",1995,1,371,3,793
"121",14,"Taiwan","corals",1996,2.5,755.75,6,1539
"122",14,"Taiwan","corals",1997,3,915.25,2,638
"123",14,"Taiwan","corals",1998,3.25,1073.5,2,1324
"124",14,"Taiwan","corals",1999,3.5,1265.25,4,1560
"125",14,"Taiwan","corals",2000,2.5,1158.75,2,1113
"126",14,"Taiwan","corals",2001,2.75,1156,3,627
"127",14,"Taiwan","corals",2002,10,1029.25,31,817
"128",14,"Taiwan","corals",2003,13,893.5,16,1017
"129",14,"Taiwan","corals",2004,16.25,821.25,15,824
"130",14,"Taiwan","corals",2005,20.25,866.25,19,807
