FAO_name,exclude,alias,Taxon_code,family
[Chondracanthus chamissoi],0,NA,AL,Algae
[Porphyra columbina],0,NA,AL,Algae
[Spirulina maxima],1,NA,AL,Algae
Aquatic plants nei,1,NA,AL,Algae
Babberlocks,0,NA,AL,Algae
Bright green nori,0,NA,AL,Algae
Dark green nori,0,NA,AL,Algae
Sea lettuces nei,0,NA,AL,Algae
Brown seaweeds,0,NA,AL,Algae
Caulerpa seaweeds,0,NA,AL,Algae
[Meristotheca senegalense],0,NA,AL,Algae
Dulse,0,NA,AL,Algae
Elkhorn sea moss,1,NA,AL,Algae
Eucheuma seaweeds nei,1,NA,AL,Algae
Fragile codium,1,NA,AL,Algae
Fusiform sargassum,0,NA,AL,Algae
Gelidium seaweeds,1,NA,AL,Algae
Giant kelp,1,NA,AL,Algae
Gracilaria seaweeds,1,NA,AL,Algae
Green laver,0,NA,AL,Algae
Harpoon seaweeds,1,NA,AL,Algae
Japanese isinglass,1,NA,AL,Algae
Japanese kelp,0,NA,AL,Algae
Kelp nei,1,NA,AL,Algae
Laver (Nori),0,NA,AL,Algae
Mozuku,0,NA,AL,Algae
Nori nei,0,NA,AL,Algae
Red seaweeds,1,NA,AL,Algae
Sea belt,1,NA,AL,Algae
Seaweeds nei,0,NA,AL,Algae
Spiny eucheuma,1,NA,AL,Algae
Tangle,1,NA,AL,Algae
Wakame,0,NA,AL,Algae
Wakame nei,0,NA,AL,Algae
Warty gracilaria,1,NA,AL,Algae
Giant kelps nei,1,NA,AL,Algae
Green seaweeds,1,NA,AL,Algae
Coarse seagrape,0,NA,AL,Algae
[Sargassum spp],1,NA,AL,Algae
Spirulina nei,1,NA,AL,Algae
[Dunaliella salina],1,NA,AL,Algae
[Capsosiphon fulvescens],1,NA,AL,Algae
Slender wart weed,1,NA ,AL,Algae
Abalones nei,0,NA,GAST,Haliotidae
American cupped oyster,0,Cupped oysters nei,BI,Ostreidae
Anadara clams nei,0,"Clams, etc. nei",BI,Arcidae
Australian mussel,0,NA,BI,Hyriidae
Banded carpet shell,0,NA,BI,Veneridae
Bear paw clam,0,NA,BI,Cardiidae
Black ark,0,blood cockle,BI,Arcidae
Blacklip abalone,0,NA,BI,Haliotidae
Blacklip pearl oyster,0,NA,BI,Pteriidae
Blood cockle,0,NA,BI,Arcidae
Blue mussel,0,NA,BI,Mytilidae
Butter clam,0,NA,BI,Arcidae
Carpet shells nei,0,NA,BI,Veneridae
Chilean flat oyster,0,Flat oysters nei,BI,Pteriidae
Chilean mussel,0,NA,BI,Mytilidae
Cholga mussel,0,NA,BI,Mytilidae
Choro mussel,0,NA,BI,Mytilidae
"Clams, etc. nei",0,NA,BI,Veneridae
Cockles nei,0,NA,BI,Cardiidae
Common edible cockle,0,NA,BI,Cardiidae
Constricted tagelus,1,NA,BI,Pharidae
Cortez oyster,0,NA,BI,Ostreidae
Crocus giant clam,0,NA,BI,Veneridae
Cupped oysters nei,0,NA,BI,Ostreidae
Diphos sanguin,0,"Clams, etc. nei",BI,Veneridae
Donax clams,0,"Clams, etc. nei",BI,Donacidae
Elongate giant clam,0,NA,BI,Cardiidae
European flat oyster,0,NA,BI,Ostreidae
False abalone,0,NA,GAST,Haliotidae
Flat and cupped oysters nei,0,NA,BI,Ostreidae
Flat oysters nei,0,NA,BI,Ostreidae
Fluted giant clam,0,NA,BI,Cardiidae
Gasar cupped oyster,0,NA,BI,Ostreidae
Gastropods nei,0,NA,GAST,Gastropoda
Giant clam,0,NA,BI,Cardiidae
Giant clams nei,0,"Clams, etc. nei",BI,Cardiidae
Globose clam,0,NA,BI,Cardiidae
Golden carpet shell,0,NA,BI,Veneridae
Grand ark,0,"Clams, etc. nei",BI,Arcidae
Great Atlantic scallop,0,NA,BI,Pectinidae
Green mussel,0,NA,BI,Mytilidae
Grooved carpet shell,0,NA,BI,Veneridae
Hooded oyster,0,NA,BI,Ostreidae
Horned turban,0,NA,GAST,Turbinidae
Horse mussels nei,0,Sea mussels nei,BI,Mytilidae
Indian backwater oyster,0,NA,BI,Ostreidae
Inflated ark,0,NA,BI,Arcidae
Half-crenated ark,0,"Clams, etc. nei",BI,Arcidae
Japanese abalone,0,NA,GAST,Haliotidae
Japanese carpet shell,0,NA,BI,Veneridae
Japanese hard clam,0,NA,BI,Veneridae
Korean mussel,0,NA,BI,Mytilidae
Mangrove cupped oyster,0,Cupped oysters nei,BI,Ostreidae
Mediterranean mussel,0,NA,BI,Mytilidae
New Zealand mussel,0,NA,BI,Mytilidae
Northern quahog(=Hard clam),0,NA,BI,Veneridae
Olympia oyster,0,NA,BI,Ostreidae
Oriental cyclina,1,NA,BI,Veneridae
Pacific calico scallop,0,NA,BI,Pectinidae
Pacific cupped oyster,0,NA,BI,Ostreidae
Pacific geoduck,0,NA,BI,Hiatellidae
Pacific horse clam,0,NA,BI,Mactridae
Pacific lion's paw,0,NA,BI,Pectinidae
Pacific littleneck clam,0,NA,BI,Veneridae
Pearl oyster shells nei,0,NA,BI,Pteriidae
Pen shells nei,0,NA,BI,Pinnidae
Penguin wing oyster,0,NA,BI,Pteriidae
Peppery furrow,0,NA,BI,Semelidae
Periwinkles nei,0,NA,GAST,Littorinidae
Perlemoen abalone,0,NA,GAST,Haliotidae
