"rgn_id","taxa_code","sust_coeff"
5,"Blue shrimp_1","genus_average"
5,"Pacific cupped oyster_2","sp_average"
5,"Snappers nei_3","sp_average"
6,"Blue shrimp_4","genus_average"
6,"Whiteleg shrimp_5","sp_average"
7,"Giant tiger prawn_6","taxon_average"
8,"Bear paw clam_7","taxon_average"
8,"Crocus giant clam_8","taxon_average"
8,"Elongate giant clam_9","taxon_average"
8,"Fluted giant clam_10","taxon_average"
8,"Giant clam_11","taxon_average"
8,"Milkfish_12","sp_average"
8,"Penaeus shrimps nei_13","sp_average"
8,"Smooth giant clam_14","taxon_average"
10,"Milkfish_15","sp_average"
11,"Sixfinger threadfin_16","taxon_average"
13,"Banana prawn_17","sp_average"
13,"Milkfish_18","sp_average"
13,"Mullets nei_19","sp_average"
13,"Whiteleg shrimp_20","sp_average"
14,"Abalones nei_21","none"
14,"Abalones nei_22","none"
14,"Amberjacks nei_23","taxon_average"
14,"Amberjacks nei_24","taxon_average"
14,"Barramundi(=Giant seaperch)_25","none"
14,"Barramundi(=Giant seaperch)_26","none"
14,"Blackhead seabream_27","taxon_average"
14,"Blackhead seabream_28","taxon_average"
14,"Blood cockle_29","none"
14,"Blue swimming crab_30","taxon_average"
14,"Clams, etc. nei_31","sp_average"
14,"Clams, etc. nei_32","sp_average"
14,"Cobia_33","taxon_average"
14,"Cobia_34","taxon_average"
14,"Croakers, drums nei_35","taxon_average"
14,"Flathead grey mullet_36","none"
14,"Fourfinger threadfin_37","taxon_average"
14,"Giant tiger prawn_38","none"
14,"Greasyback shrimp_39","genus_average"
14,"Greater amberjack_40","taxon_average"
14,"Groupers nei_41","none"
14,"Groupers nei_42","none"
14,"Indo-Pacific swamp crab_43","taxon_average"
14,"Japanese carpet shell_44","genus_average"
14,"Japanese carpet shell_45","genus_average"
14,"Japanese eel_46","taxon_average"
14,"Japanese hard clam_47","taxon_average"
14,"Japanese hard clam_48","taxon_average"
14,"Japanese spiny lobster_49","taxon_average"
14,"Kuruma prawn_50","none"
14,"Kuruma prawn_51","none"
14,"Laver (Nori)_52","none"
14,"Marine crabs nei_53","taxon_average"
14,"Marine fishes nei_54","sp_average"
14,"Marine fishes nei_55","sp_average"
14,"Marine molluscs nei_56","sp_average"
14,"Marine molluscs nei_57","sp_average"
14,"Mi-iuy (brown) croaker_58","taxon_average"
14,"Milkfish_59","none"
14,"Natantian decapods nei_60","sp_average"
14,"Pacific cupped oyster_61","none"
14,"Porgies, seabreams nei_62","taxon_average"
14,"Porgies, seabreams nei_63","taxon_average"
14,"Redtail prawn_64","taxon_average"
14,"Seabasses nei_65","sp_average"
14,"Seaweeds nei_66","taxon_average"
14,"Snappers, jobfishes nei_67","taxon_average"
14,"Snappers, jobfishes nei_68","taxon_average"
14,"Trumpet emperor_69","taxon_average"
14,"Whiteleg shrimp_70","none"
15,"Banana prawn_71","none"
15,"Barramundi(=Giant seaperch)_72","none"
15,"Caulerpa seaweeds_73","taxon_average"
15,"Cupped oysters nei_74","sp_average"
15,"Flathead lobster_75","taxon_average"
15,"Giant tiger prawn_76","none"
15,"Giant tiger prawn_77","none"
15,"Green mussel_78","genus_average"
15,"Groupers, seabasses nei_79","none"
15,"Groupers, seabasses nei_80","none"
15,"Indo-Pacific swamp crab_81","taxon_average"
15,"Indo-Pacific swamp crab_82","taxon_average"
15,"Jacks, crevalles nei_83","taxon_average"
15,"Marine fishes nei_84","sp_average"
15,"Marine fishes nei_85","sp_average"
15,"Metapenaeus shrimps nei_86","genus_average"
15,"Metapenaeus shrimps nei_87","genus_average"
15,"Milkfish_88","none"
15,"Milkfish_89","none"
15,"Scats_90","taxon_average"
15,"Snappers nei_91","sp_average"
15,"Snubnose pompano_92","taxon_average"
15,"Tropical spiny lobsters nei_93","taxon_average"
15,"Whiteleg shrimp_94","sp_average"
16,"Abalones nei_95","sp_average"
16,"Atlantic salmon_96","none"
16,"Australian mussel_97","taxon_average"
16,"Australian mussel_98","taxon_average"
16,"Barramundi(=Giant seaperch)_99","none"
16,"Barramundi(=Giant seaperch)_100","none"
16,"Barramundi(=Giant seaperch)_101","none"
16,"Brine shrimp_102","taxon_average"
16,"Cupped oysters nei_103","none"
16,"Cupped oysters nei_104","none"
16,"Eastern school shrimp_105","taxon_average"
16,"Finfishes nei_106","taxon_average"
16,"Flat and cupped oysters nei_107","sp_average"
16,"Flat and cupped oysters nei_108","sp_average"
16,"Giant tiger prawn_109","none"
16,"Giant tiger prawn_110","none"
16,"Kuruma prawn_111","none"
16,"Marine fishes nei_112","sp_average"
16,"Pacific cupped oyster_113","none"
16,"Penaeus shrimps nei_114","sp_average"
16,"Penaeus shrimps nei_115","sp_average"
16,"Rainbow trout_116","sp_average"
16,"Southern bluefin tuna_117","none"
17,"Giant tiger prawn_118","taxon_average"
17,"Indo-Pacific swamp crab_119","taxon_average"
17,"Milkfish_120","sp_average"
17,"Pearl oyster shells nei_121","taxon_average"
18,"Giant tiger prawn_122","taxon_average"
18,"Indo-Pacific swamp crab_123","taxon_average"
18,"Pearl oyster shells nei_124","taxon_average"
19,"Milkfish_125","sp_average"
20,"Abalones nei_126","none"
20,"Aquatic invertebrates nei_127","taxon_average"
20,"Bastard halibut_128","taxon_average"
20,"Blackhead seabream_129","taxon_average"
20,"Blood cockle_130","none"
20,"Dotted gizzard shad_131","taxon_average"
20,"Filefishes, leatherjackets nei_132","taxon_average"
20,"Fleshy prawn_133","taxon_average"
20,"Fusiform sargassum_134","taxon_average"
20,"Globose clam_135","taxon_average"
20,"Green laver_136","taxon_average"
20,"groupers nei_137","taxon_average"
20,"Horned turban_138","taxon_average"
20,"Inflated ark_139","taxon_average"
20,"Jack and horse mackerels nei_140","taxon_average"
20,"Japanese carpet shell_141","genus_average"
20,"Japanese hard clam_142","taxon_average"
20,"Japanese kelp_143","taxon_average"
20,"Japanese seabream_144","taxon_average"
20,"Korean mussel_145","genus_average"
20,"Korean rockfish_146","taxon_average"
20,"Kuruma prawn_147","none"
20,"Laver (Nori)_148","none"
20,"Marine crustaceans nei_149","sp_average"
20,"Marine fishes nei_150","sp_average"
20,"Marine molluscs nei_151","sp_average"
20,"Mi-iuy (brown) croaker_152","taxon_average"
20,"Mullets nei_153","sp_average"
20,"Okhotsk atka mackerel_154","taxon_average"
20,"Pacific chub mackerel_155","taxon_average"
20,"Pacific cupped oyster_156","none"
20,"Porgies, seabreams nei_157","taxon_average"
20,"Pufferfishes nei_158","taxon_average"
20,"Righteye flounders nei_159","taxon_average"
20,"Scorpionfishes, redfishes nei_160","taxon_average"
20,"Sea squirts nei_161","taxon_average"
20,"Seabasses nei_162","sp_average"
20,"Wakame_163","taxon_average"
20,"Whiteleg shrimp_164","sp_average"
20,"Yesso scallop_165","sp_average"
21,"Atlantic salmon_166","sp_average"
21,"Clams, etc. nei_167","sp_average"
21,"Japanese kelp_168","taxon_average"
21,"Japanese sea cucumber_169","taxon_average"
21,"Laver (Nori)_170","none"
21,"Marine fishes nei_171","sp_average"
21,"Tiger pufferfish_172","taxon_average"
21,"Wakame_173","taxon_average"
21,"Yesso scallop_174","sp_average"
24,"Barramundi(=Giant seaperch)_175","sp_average"
24,"Blood cockle_176","sp_average"
24,"Green mussel_177","genus_average"
24,"Groupers nei_178","sp_average"
24,"Indo-Pacific swamp crab_179","taxon_average"
24,"Marine fishes nei_180","sp_average"
24,"Marine molluscs nei_181","sp_average"
24,"Penaeus shrimps nei_182","none"
24,"Snappers nei_183","sp_average"
25,"Abalones nei_184","sp_average"
25,"Banana prawn_185","none"
25,"Barramundi(=Giant seaperch)_186","none"
25,"Barramundi(=Giant seaperch)_187","none"
25,"Blood cockle_188","none"
25,"Blood cockle_189","none"
25,"Cupped oysters nei_190","none"
25,"Cupped oysters nei_191","none"
25,"Fourfinger threadfin_192","taxon_average"
25,"Giant tiger prawn_193","none"
25,"Giant tiger prawn_194","none"
25,"Green mussel_195","genus_average"
25,"Green mussel_196","genus_average"
25,"Groupers nei_197","none"
25,"Groupers nei_198","none"
25,"Indo-Pacific swamp crab_199","taxon_average"
25,"Marine fishes nei_200","sp_average"
25,"Metapenaeus shrimps nei_201","genus_average"
25,"Penaeus shrimps nei_202","none"
25,"Sea mussels nei_203","sp_average"
25,"Squaretail mullet_204","taxon_average"
25,"Whiteleg shrimp_205","none"
25,"Whiteleg shrimp_206","none"
29,"Cobia_207","taxon_average"
29,"Red drum_208","sp_average"
31,"Giant tiger prawn_209","taxon_average"
32,"Drums nei_210","taxon_average"
32,"Marine fishes nei_211","sp_average"
32,"Pargo breams nei_212","taxon_average"
37,"European seabass_213","sp_average"
37,"Giant tiger prawn_214","taxon_average"
37,"Goldlined seabream_215","taxon_average"
37,"Hooded oyster_216","taxon_average"
37,"Indo-Pacific swamp crab_217","taxon_average"
37,"Marine fishes nei_218","sp_average"
37,"Metapenaeus shrimps nei_219","genus_average"
37,"Red drum_220","sp_average"
40,"Barramundi(=Giant seaperch)_221","sp_average"
40,"Giant tiger prawn_222","none"
40,"Indian backwater oyster_223","taxon_average"
40,"Indo-Pacific swamp crab_224","taxon_average"
40,"Milkfish_225","sp_average"
40,"Sandfish_226","taxon_average"
41,"Giant tiger prawn_227","taxon_average"
41,"Indian white prawn_228","sp_average"
41,"Japanese meagre_229","taxon_average"
42,"Giant tiger prawn_230","none"
42,"Indo-Pacific swamp crab_231","taxon_average"
42,"Sandfish_232","taxon_average"
42,"Sea cucumbers nei_233","taxon_average"
43,"Milkfish_234","sp_average"
43,"Penaeus shrimps nei_235","sp_average"
45,"Penaeus shrimps nei_236","sp_average"
47,"Indian white prawn_237","sp_average"
48,"Gilthead seabream_238","sp_average"
48,"Indian white prawn_239","sp_average"
48,"Yellowfin tuna_240","sp_average"
50,"Barramundi(=Giant seaperch)_241","none"
50,"Flathead grey mullet_242","none"
50,"Giant tiger prawn_243","none"
50,"Gilthead seabream_244","sp_average"
50,"Groupers nei_245","none"
50,"Indian white prawn_246","sp_average"
50,"Metapenaeus shrimps nei_247","genus_average"
50,"Sandfish_248","taxon_average"
50,"Sobaity seabream_249","taxon_average"
50,"Whiteleg shrimp_250","sp_average"
51,"Gilthead seabream_251","sp_average"
51,"Goldsilk seabream_252","taxon_average"
51,"Groupers nei_253","sp_average"
51,"Marine fishes nei_254","sp_average"
51,"Sobaity seabream_255","taxon_average"
52,"Gilthead seabream_256","sp_average"
52,"Groupers nei_257","sp_average"
52,"Sobaity seabream_258","taxon_average"
52,"White-spotted spinefoot_259","taxon_average"
53,"Penaeus shrimps nei_260","sp_average"
54,"European seabass_261","sp_average"
54,"Gilthead seabream_262","sp_average"
54,"Indian white prawn_263","sp_average"
54,"Sobaity seabream_264","taxon_average"
54,"White-spotted spinefoot_265","taxon_average"
61,"Atlantic bluefin tuna_266","sp_average"
61,"Carpet shells nei_267","sp_average"
61,"European eel_268","sp_average"
61,"European seabass_269","sp_average"
61,"Flathead grey mullet_270","sp_average"
61,"Gilthead seabream_271","sp_average"
61,"Mediterranean mussel_272","sp_average"
61,"Pacific cupped oyster_273","sp_average"
61,"Thinlip grey mullet_274","taxon_average"
62,"Clams, etc. nei_275","none"
62,"European eel_276","none"
62,"European flat oyster_277","none"
62,"European seabass_278","none"
62,"Gilthead seabream_279","none"
62,"Marine fishes nei_280","none"
62,"Mediterranean mussel_281","none"
62,"Pacific cupped oyster_282","none"
62,"Penaeus shrimps nei_283","none"
62,"Yesso scallop_284","none"
65,"Gasar cupped oyster_285","sp_average"
