year,rgn_id,score
1984,5,0.19671994134272294
1985,5,0.09836031319778225
1986,5,0.13114693202774513
1987,5,0.1803267175566278
1988,5,0.13114693202774513
1989,5,0.13114693202774513
1990,5,0.08196697523902646
1991,5,0
1992,5,0
1993,5,0
1994,5,0
1995,5,0
1996,5,0
1997,5,0.0655736182508375
1998,5,0.14754021289932592
1999,5,0.1639334747422246
2000,5,0.2786857748551395
2001,5,0.32786504663489213
2002,5,0.3114719750685125
2003,5,0.3770441471750599
2004,5,0.34425809917465205
2005,5,0.2950788844753239
2006,5,0.2786857748551395
2007,5,0.2622926462077721
2008,5,0.24589949853303414
2009,5,0.22950633183073813
2010,5,0.2786857748551395
2011,5,0.3114719750685125
2012,5,0.5245804214086617
2013,5,0.7212930566729725
2014,5,0.8688257355129428
2015,5,0.9999646010879227
2016,5,0.9343953204579243
2017,5,0.7540782295652346
2003,6,0.7489096380380431
2004,6,0.8975452841783347
2005,6,0.9978994230384158
2006,6,0.7488149277062305
2007,6,0.5618082149200472
2008,6,0.30018592963425317
2009,6,0
2010,6,0
2011,6,0
2012,6,0.01801417904412529
2013,6,0.04940236519491935
2014,6,0.1460594088592768
2015,6,0.16466918580468956
2016,6,0.14666621015395634
2017,6,0.12191407359514883
1996,7,0.07069734218653038
1997,7,0.052665933815294094
1998,7,0.05230231453697525
1999,7,0.05604028743775786
2000,7,0.04048382767863621
2001,7,0.09402070840271372
2002,7,0.12934347600519916
2003,7,0.1760256951055503
2004,7,0.2679365761294049
2005,7,0.3256498948378929
2006,7,0.44544750100933656
2007,7,0.49945336720600453
2008,7,0.4865400793820176
2009,7,0.4231370126969874
2010,7,0.3045026271954256
2011,7,0.1869821663912271
2012,7,0.10585777973367896
2013,7,0.04940641133292147
2014,7,0
2015,7,0
2016,7,0
2017,7,0
1995,8,0
1996,8,0
1997,8,0
1998,8,0
1999,8,0
2000,8,0
2001,8,0
2002,8,0
2003,8,0.3562143643016807
2004,8,0.4999271602195854
2005,8,0.4999271602195854
2006,8,0.4999271602195854
2007,8,0.1437426311481778
2008,8,0
2009,8,0
2010,8,0
