"rgn_id","fao_id","RAM_area_m2","stockid","stocklong","idtemp2"
16,71,NA,"BTSHRIMPNAUST","Brown tiger shrimp Northern Australia",1
16,71,NA,"GTPRAWNNAUST","Grooved tiger prawn Northern Australia",2
16,57,NA,"BTSHRIMPNAUST","Brown tiger shrimp Northern Australia",3
16,57,NA,"GTPRAWNNAUST","Grooved tiger prawn Northern Australia",4
16,57,NA,"SARDWSE","Sardine Western half of Southeast Australia",5
145,27,NA,"COD1f-XIV","Atlantic cod NAFO 1f and ICES 14",6
145,21,NA,"COD1f-XIV","Atlantic cod NAFO 1f and ICES 14",7
162,81,NA,"OROUGHYNWCR","Orange roughy Northwest Chatham Rise",8
163,21,NA,"SPURDNEATL","Spurdog Northeast Atlantic",9
184,37,NA,"NEPHMEDGSA17-18","Norway lobster Adriatic Sea",10
187,37,NA,"NEPHMEDGSA17-18","Norway lobster Adriatic Sea",11
218,67,NA,"PERCHQCI","Pacific Ocean perch Haida Gwaii",12
223,27,NA,"SEELNSSA4","Sand eel Sandeel Area 4",13
