rgn_id,fao_id,RAM_area_m2,stockid,stocklong
16,57,NA,BTSHRIMPNAUST,Brown tiger shrimp Northern Australia
16,71,NA,BTSHRIMPNAUST,Brown tiger shrimp Northern Australia
145,21,NA,COD1f-XIV,Atlantic cod NAFO 1f and ICES 14
145,27,NA,COD1f-XIV,Atlantic cod NAFO 1f and ICES 14
16,57,NA,GTPRAWNNAUST,Grooved tiger prawn Northern Australia
16,71,NA,GTPRAWNNAUST,Grooved tiger prawn Northern Australia
184,37,NA,NEPHMEDGSA17-18,Norway lobster Adriatic Sea
187,37,NA,NEPHMEDGSA17-18,Norway lobster Adriatic Sea
16,57,NA,SARDWSE,Sardine Western half of Southeast Australia
223,27,NA,SEELNSSA4,Sand eel Sandeel Area 4
163,21,NA,SPURDNEATL,Spurdog Northeast Atlantic
