"rgn_id","year","fis_catch"
1,2005,392.789038384
1,2006,652.779472459
1,2007,617.508165391
1,2008,1386.716852023
1,2009,1239.234140768
1,2010,591.07246683
1,2011,504.983989165
1,2012,539.245201998
1,2013,375.136973309
1,2014,492.969553744
1,2015,388.133946778
1,2016,1293.694443559
1,2017,762.524576663
2,2005,1457.244310055
2,2006,1131.202709381
2,2007,1036.755538746
2,2008,1326.770637665
2,2009,1003.273417124
2,2010,1070.935244702
2,2011,832.229418989
2,2012,1231.328266281
2,2013,1040.333773257
2,2014,912.026590809
2,2015,1049.017928211
2,2016,1025.180984232
2,2017,2548.575462239
3,2005,1682.116681006
3,2006,1251.114853111
3,2007,1168.911801658
3,2008,1106.646824789
3,2009,1303.763047362
3,2010,2573.334849566
3,2011,935.177644856
3,2012,1105.281754663
3,2013,1769.885451166
3,2014,1193.662618968
3,2015,2317.579839554
3,2016,653.842520548
3,2017,1839.890151223
4,2005,22.1116695
4,2006,23.795513639
4,2007,28.382958848
4,2008,12.809277738
4,2009,36.620423706
4,2010,26.41426468
4,2011,30.96060179
4,2012,22.174107981
4,2013,26.053760305
4,2014,32.233128883
4,2015,25.437146662
4,2016,15.885681495
4,2017,44.635594524
5,2005,70033.337856842
5,2006,3456.416626627
5,2007,4566.26824814
5,2008,4327.400730337
5,2009,3909.774954547
5,2010,7019.604812371
5,2011,5020.735344496
5,2012,4539.108951383
5,2013,4459.054074312
5,2014,4278.915874081
5,2015,4050.433540761
5,2016,4051.432870633
5,2017,3705.487441048
6,2005,8353.854593433
6,2006,8455.720969851
6,2007,6828.304359915
6,2008,6295.716997992
6,2009,10983.011718609
6,2010,12672.541192226
6,2011,8637.721051625
6,2012,9083.03036428
6,2013,8809.429732736
6,2014,7955.896260265
6,2015,7084.566030812
6,2016,6762.350720588
6,2017,9083.23174878
7,2005,74509.935206707
7,2006,35668.201627076
7,2007,30115.28723793
7,2008,25422.704879397
7,2009,28816.858301736
7,2010,29069.627071576
